Date,Open,High,Low,Close,Volume,OpenInt
1976-09-27,0.5625,0.5625,0.5589,0.5625,2290644,0
1976-09-28,0.5625,0.5625,0.555,0.5589,2324089,0
1976-09-29,0.5589,0.5625,0.555,0.5589,2474567,0
1976-09-30,0.555,0.555,0.5475,0.555,1939528,0
1976-10-01,0.555,0.555,0.5397,0.5397,5701532,0
1976-10-04,0.5397,0.5397,0.5397,0.5397,3578088,0
1976-10-05,0.5397,0.5397,0.532,0.5359,7239777,0
1976-10-06,0.5359,0.5397,0.5283,0.5359,8727858,0
1976-10-07,0.5359,0.5397,0.532,0.5359,3678404,0
1976-10-08,0.5359,0.5397,0.5359,0.5359,8744576,0
1976-10-11,0.5359,0.5359,0.5283,0.532,2324089,0
1976-10-12,0.532,0.532,0.5207,0.5244,6688017,0
1976-10-13,0.5244,0.5283,0.5207,0.5207,5651367,0
1976-10-14,0.5168,0.5168,0.5015,0.5015,6838495,0
1976-10-15,0.5015,0.5091,0.49743,0.5053,8543936,0
1976-10-18,0.5053,0.5053,0.49743,0.5015,6871933,0
1976-10-19,0.5015,0.5053,0.48995,0.49373,4681609,0
1976-10-20,0.49373,0.49373,0.48622,0.48995,7473855,0
1976-10-21,0.48995,0.48995,0.48622,0.48622,3862325,0
1976-10-22,0.48622,0.48622,0.47855,0.48231,2892563,0
1976-10-25,0.48231,0.48995,0.47855,0.48995,2658490,0
1976-10-26,0.48995,0.49743,0.48995,0.49743,5701532,0
1976-10-27,0.49743,0.5015,0.49743,0.5015,4932413,0
1976-10-28,0.5015,0.5053,0.49373,0.49373,5534329,0
1976-10-29,0.49373,0.5053,0.49373,0.5053,3578088,0
1976-11-01,0.5053,0.5053,0.5015,0.5015,3210243,0
1976-11-03,0.49743,0.49743,0.49373,0.49743,6972262,0
1976-11-04,0.49743,0.5015,0.49373,0.49373,4129845,0
1976-11-05,0.49373,0.49373,0.48995,0.49373,2825691,0
1976-11-08,0.49373,0.49373,0.48622,0.48995,3527929,0
